window_id,bandPower(){}_0_delta,bandPower(){}_0_theta,bandPower(){}_0_alpha,bandPower(){}_0_beta,bandPower(){}_1_delta,bandPower(){}_1_theta,bandPower(){}_1_alpha,bandPower(){}_1_beta,bandPower(){}_2_delta,bandPower(){}_2_theta,bandPower(){}_2_alpha,bandPower(){}_2_beta,bandPower(){}_3_delta,bandPower(){}_3_theta,bandPower(){}_3_alpha,bandPower(){}_3_beta,bandPower(){}_4_delta,bandPower(){}_4_theta,bandPower(){}_4_alpha,bandPower(){}_4_beta,bandPower(){}_5_delta,bandPower(){}_5_theta,bandPower(){}_5_alpha,bandPower(){}_5_beta,hjorthActivity(){}_0,hjorthActivity(){}_1,hjorthActivity(){}_2,hjorthActivity(){}_3,hjorthActivity(){}_4,hjorthActivity(){}_5,hjorthMobility(){}_0,hjorthMobility(){}_1,hjorthMobility(){}_2,hjorthMobility(){}_3,hjorthMobility(){}_4,hjorthMobility(){}_5,hjorthComplexity(){}_0,hjorthComplexity(){}_1,hjorthComplexity(){}_2,hjorthComplexity(){}_3,hjorthComplexity(){}_4,hjorthComplexity(){}_5,sampEn(){}_0,sampEn(){}_1,sampEn(){}_2,sampEn(){}_3,sampEn(){}_4,sampEn(){}_5,DFA(){}_0,DFA(){}_1,DFA(){}_2,DFA(){}_3,DFA(){}_4,DFA(){}_5,PFD(){}_0,PFD(){}_1,PFD(){}_2,PFD(){}_3,PFD(){}_4,PFD(){}_5,LZC(){}_0,LZC(){}_1,LZC(){}_2,LZC(){}_3,LZC(){}_4,LZC(){}_5,HFD(){}_0,HFD(){}_1,HFD(){}_2,HFD(){}_3,HFD(){}_4,HFD(){}_5
0,102.56752920270264,104.27406090731843,123.5097568193602,448.61766566126977,85.00527838763708,50.256362421275846,38.162620189833824,127.18106459434482,98.56561147896893,39.401062630999704,31.387056727826195,115.10077536486591,66.2069354350863,68.8762251636758,70.63858461649735,226.675287725883,69.86416054270178,63.30326287776907,91.73731898588419,315.5330584490871,12.43100695339375,3.340936063726582,7.775024369089441,84.88600802218862,1.5101158471128773,0.6552768818949638,0.6734727604960407,0.7602267718884581,1.1789229981856866,0.41528372835478605,0.5312096190509885,0.309402088008476,0.22676935151659725,0.4044902207788838,0.46249706433046045,0.5999735083886943,1.5397962899129791,2.342972579800825,3.325565302913858,1.9569180998492717,1.753936282854402,1.0728718196878175,1.3732478981782967,0.9022265047107394,0.7103128681586144,1.1602525501015903,1.3330551070239416,0.44501925498651507,0.8351670155186113,1.161434172531908,1.2458646832183988,0.9478040506101331,0.8849627164964253,0.406851638560476,1.0189432295038299,1.0162320035430084,1.0173866421754054,1.0180434994071335,1.0185347539896537,1.010655427314864,0.7818661408457581,0.4691196845074549,0.3868179854710593,0.5843420631584088,0.633723082580246,0.1810637378800703,2.0151294448935566,1.9259376347806372,1.8729325553244895,2.031778160603775,2.02505083131123,2.109466322393764
1,91.72934207173275,100.3590520871253,84.61843854443723,279.0928122927055,100.49752190378784,69.02689042596462,40.70789981494528,137.15188481080088,87.90949846399103,40.2606624295657,31.79386599397149,100.15883174317815,84.48270250437508,75.98553992415611,58.342765373145596,166.5601670650238,108.59133677361487,83.78674011851811,86.07098437466904,262.71088808198516,4.872556997434277,2.5027029018186364,6.732154257174482,81.09236879661032,1.0520494267242997,1.175239953721884,1.0580031086009762,0.9609600868931644,1.046979126753714,0.39746642439131297,0.41742865730315065,0.18217050310215455,0.14464044134482112,0.2681475576128804,0.3950619812835602,0.6044487197822099,1.8700439551204782,3.9911577057702403,5.025739685093564,2.872922350879504,1.9752594410050242,1.0679194447121754,1.2767652359076467,0.6823960475866658,0.5447653641418355,0.9328052708945455,1.2408501281413333,0.39462213270077734,0.9545191560028298,1.1895744678841622,1.376236121574862,1.1490171198653463,0.9670894210214792,0.31819421989896235,1.0173043855247277,1.0158594683970077,1.0173455180145605,1.0184529605081138,1.0188615998781476,1.010655427314864,0.6666437621948043,0.35389730585650103,0.3374369660492219,0.47734985441109445,0.6419532524838856,0.1810637378800703,2.0594054154189316,1.895842302229743,1.903698635076911,2.004719513035919,2.041769568126461,2.1236477410967103
2,97.17796649088764,68.94597478122401,82.851042570852,239.34008553691646,68.54859031504293,53.6823026302933,35.22625767242427,90.94635522790172,98.8164893357819,31.285383835023648,34.80494117821396,78.66760432719008,72.21665845611867,59.40742289876122,52.57828661549297,154.25546432222825,61.42962083815436,62.692052516261434,71.91476571087821,222.5278877557007,3.7388394719630864,2.4844951640385267,6.134479760219555,81.79696814947437,0.6776917782347508,0.5269017840933984,0.5838221346484296,1.3308309815868982,0.7252380254339625,0.3998572751588101,0.4430570531302023,0.21941006966026833,0.16687108586678792,0.20878038938435964,0.43610934500166043,0.6042850100828253,1.7800102977244812,3.16123993472392,4.253854582347733,3.7450714130407943,1.8463337684632481,1.0673744714132618,1.2953070384297287,0.7829312025790466,0.6633015561595934,0.7696465098232329,1.353089962984641,0.41271640463702797,0.9282713557222859,1.2214364018131834,1.3368550450382595,1.100576219899067,0.935931610074685,0.32894865088322567,1.0183711341574384,1.0158180332518691,1.015693676883314,1.0181254575626042,1.0188615998781476,1.010655427314864,0.633723082580246,0.4691196845074549,0.41150849518197796,0.27982577672374503,0.6913342719057229,0.13991288836187252,2.061362398014973,1.971252270045952,1.9264961494934156,1.9200738196786342,2.0629807479299553,2.1235638516069915
3,92.65003515191029,84.43769372324485,67.08517586429022,226.9252229499798,68.12195208646645,47.44584055254269,31.43189042180226,93.19289496111867,106.16793468606458,35.46213551683775,23.51920819887995,84.29619688417395,84.17368634244424,54.90941222612696,36.707140808848656,134.93345847220712,72.3565779234212,71.1840377231463,57.386294280719945,179.67583272191916,4.561947417155842,2.682803851397155,7.270442620888562,79.48389990576925,0.6414814717032582,0.7766567294336746,0.5751846877965499,1.0997428278668067,0.5807326684230862,0.3991961792088161,0.4381092960259699,0.1769653074773476,0.16611273718675648,0.20831549202582783,0.43514872887563877,0.6044868081827314,1.7705891559910374,3.905727891003512,4.326926892584661,3.611391909313204,1.8349253090876763,1.0660218597594895,1.2679313497845404,0.6575639116744019,0.6287139441560723,0.7869440032307069,1.3775471996107274,0.3837093265173431,0.9730295563066441,1.210146738844667,1.3223513455632503,1.118077780649052,0.9105106398677172,0.3189914698859052,1.0175921381909854,1.015112333903428,1.0158594683970077,1.016851377224678,1.0186982424761672,1.010655427314864,0.6584135922911647,0.23044475730190767,0.34566713595286147,0.32920679614558235,0.6913342719057229,0.16460339807279117,2.069626695986721,1.8576487493569733,1.9478168942446659,1.969982322074318,2.0465759051884005,2.1259713380872896
4,80.25405801998686,63.145279303174405,99.87410390274546,399.87236583195755,100.79748859557525,49.92660924675254,82.39399573284855,323.7597943781757,95.78397741073324,39.53469429206794,49.74036505685202,222.21496822890802,96.15330060037776,66.17411155221242,76.7852821144281,318.7392754314917,81.88566730566698,64.88009598186983,112.84213194643559,376.24221727961094,25.235699613102202,8.389186811062661,11.857836676551113,90.98622992315335,0.8342693166090663,1.004648635599757,1.0694955148494294,1.588812040861964,1.6189171568964258,0.4033468922849565,0.5301644161273217,0.3746914037613974,0.2501760193094198,0.30193344067227135,0.3708385799774391,0.5846756363141083,1.562658674261761,2.1351614257624556,3.332535877047517,2.5805096131510505,2.14598331953938,1.1048472581596496,1.3510256746311504,0.9262928290873808,0.7314408525961048,0.7566542817381119,1.0856618850933222,0.6060072949131023,0.9173033156690735,1.0951885785373892,1.2972542314201272,1.0705449127946927,0.9514290570741714,0.5852218795748504,1.0186573826539016,1.016768903311244,1.0177974266074217,1.017016224532454,1.0184120514434651,1.0107404429079094,0.6995644418093625,0.5267308738329318,0.3209766262419428,0.4279688349892571,0.4691196845074549,0.29628611653102416,2.0177682238304193,2.0465150325426964,1.9032831192338142,1.9038151223860198,1.9439934614059038,2.0892388383198757
5,79.49401379324057,85.48615319406305,60.4272428418875,223.9906543266049,90.08541476516551,69.78439549117525,41.84603234344032,116.16102376863435,76.34551766579679,43.26242097289037,29.683602569969445,85.24361305102832,87.29441690408204,55.04408092939899,48.43417251014247,134.54350090205227,56.13746484743266,74.82521972638207,67.7214930386826,160.3364529493511,6.195279741386952,3.935426019916801,6.870279241673687,76.60371358148807,0.6508527444225504,0.47000669624266983,1.0684910782806698,0.8887469991625936,0.6144669049783658,0.33741573914485534,0.39587574719821744,0.28349714362653944,0.12766760417732845,0.24249526951186806,0.40829900420595416,0.6073947565286584,1.9008820543492901,2.4482681885934903,5.523851554968599,3.1673226819259837,1.927386760645108,1.074962707242908,1.2036926530424061,0.8937321219954614,0.503026354350144,0.8772541802028997,1.3036731811599318,0.4353950649002739,1.024483328118992,1.129675471491986,1.362855172332978,1.0012869505856354,0.913930420406199,0.36089120292682997,1.0164799801746198,1.015693676883314,1.0156522077683794,1.0179615082181428,1.0191471606920914,1.010655427314864,0.6254929126766064,0.5514213835438505,0.23867492720554723,0.3868179854710593,0.633723082580246,0.1810637378800703,2.0144859130255264,1.9882568567019157,1.8484476191365786,2.0128164839132756,2.057601411653015,2.121889244811105
6,110.27041538927243,59.39065743487657,51.3028022147206,180.49081950060992,96.43710121402307,42.21582018965532,31.703948427220084,110.6927577528165,74.31291502245152,49.8483946909924,32.62836775810789,77.74758271271887,63.567964652205184,44.045589281648155,39.979400208076356,127.15217652029719,65.65730935316608,66.25948086542331,58.222441684664346,157.84804607454902,4.359041668494655,2.764214476782185,6.526226513591018,75.36406727960444,0.6048050869368022,0.7269709165195573,0.9728419753271074,0.7135240489698977,0.5501764692088645,0.3333390125154443,0.38087590494518875,0.20054580816535245,0.12988928785393972,0.23336406095218645,0.4142878913910872,0.6081600599564163,1.9722723761513818,3.358184334893821,5.266887992976707,3.257522180903378,1.8870368285251633,1.0725739513683412,1.1922079627463444,0.7047253116951808,0.4898680660628007,0.8589686993842884,1.326632347048767,0.4268629550148473,1.0505433253787957,1.1962908600944941,1.3940590578807814,1.1584974311092886,0.9209255969122488,0.3302626512109692,1.0164799801746198,1.0153616856310217,1.0161492771665306,1.0178794839626002,1.0189432295038299,1.0106979396303946,0.633723082580246,0.3868179854710593,0.3621274757601406,0.4032783252783384,0.6913342719057229,0.14814305826551208,2.0348219540079984,2.0005985275962197,1.9389795605396858,1.9464273017976894,2.0710752849768728,2.1235218892135053
7,95.20200546190524,73.67181665768888,59.67639483553349,173.61579105043296,99.89831857129313,74.2121950212845,36.45225130253058,113.61465688613552,112.24454724788087,39.44487521776828,28.425968396276875,75.73969480730312,89.34577085695499,61.73178011982647,58.65073155557291,132.11852594276792,69.89974855886675,66.51326014060004,64.3084424393966,178.09331325141846,4.721989255484109,1.9584484880011641,6.204940844703611,75.98299603190301,0.5251329263187147,0.46026651754776593,0.7749411330094635,0.601814463972634,0.48398776551419115,0.33568952945625197,0.3704429529485523,0.2753473139418582,0.14727284574448543,0.2540450571140347,0.4395204667586057,0.6079270230240443,2.0154017962352024,2.4689159483037875,4.624141452916411,2.982442927555297,1.7803303155467236,1.0714487430521222,1.1433958912950788,0.9085590559972495,0.5655385210307466,0.9370913102686227,1.3783203004371536,0.43177717629979834,1.04709472986034,1.1259215155436642,1.388561862813323,1.0916537360032503,0.9543102665713901,0.32633646583460496,1.0174277580114421,1.0149459282827615,1.0152786025691103,1.017920500225757,1.019065612689553,1.010612905956562,0.6172627427729669,0.45265934470017577,0.34566713595286147,0.4444291747965362,0.6666437621948043,0.1810637378800703,2.0367164591815614,2.0286445336785026,1.9360736321353842,1.976639443250792,2.0339541353905575,2.124206819908096
8,92.5378396555929,55.14539474026274,53.55629512910034,168.78063235179891,104.89524792213865,39.7120075901574,41.80435090670561,123.79993787907316,104.50323669503234,45.755984719974194,30.835926018743088,77.25680948800581,98.09650055437216,53.66724511643634,44.2445753347752,118.23184093869676,65.72925732224964,53.30472981069791,68.01431996799319,169.3609765020355,5.159115831511121,2.38607306413608,6.3687393967989365,77.12996574706222,0.77086142682052,0.5079862274419752,0.6241759545741473,0.8137976823563872,0.5239903384264251,0.3360851821574919,0.3100328983041251,0.25880830293279733,0.17132488195253717,0.21227906188483578,0.42425214204972744,0.6087708093058787,2.426314918474329,2.7055531898982266,3.8882046461361153,3.5862627236890328,1.8286170930731969,1.0731768724685156,1.0046904346475165,0.83795143562324,0.5814707054594399,0.7659415890563143,1.2975157433021607,0.41295328360864586,1.0935983392947901,1.193637353182165,1.3194564528647692,1.2045950930181235,0.9773476602504745,0.32913140288158893,1.0164386718046676,1.015112333903428,1.0156522077683794,1.0178384594245353,1.0189024187772124,1.010655427314864,0.46088951460381533,0.41150849518197796,0.45265934470017577,0.4691196845074549,0.6419532524838856,0.14814305826551208,2.0166546425595513,1.9931749825350689,1.9265995025213707,1.8656374694245805,2.03876622475808,2.1243809649754053
9,90.85067159644336,70.74409789559971,53.66556071977329,186.46181200871342,86.50199720293375,49.84067727272671,36.02195183709392,99.87497344035711,73.34498982127229,31.112235585814407,29.721334051399204,73.45051702383287,82.60278410395416,64.52988234668568,45.870986746286995,124.65550311981556,81.41903299789595,76.4716712914517,58.583077115197035,156.77749976085116,3.7617720442050735,1.861522719152516,6.691242398871785,76.85041294950744,0.6528864193474919,0.43619044516266203,0.7052922837731863,0.41984573257394014,0.49553656911510835,0.34467483960211914,0.3500275642434739,0.26088199382323696,0.15260929277260157,0.30996535382345286,0.43579080463265785,0.607340835022007,2.1436319604877747,2.6595768005687734,4.587666263475173,2.415237768699612,1.7906924921690563,1.0699443038665604,1.133855768817495,0.8816464273100315,0.5758657392675585,1.076159889197928,1.3549034537058973,0.4257816028398837,1.0888665271141003,1.1971906340588754,1.290671995094708,1.1013990721913787,0.9746740344767559,0.3563770081943027,1.0168101444597735,1.0148210340222763,1.0159837229595419,1.0174688655268471,1.0185347539896537,1.010655427314864,0.5925722330620483,0.4197386650856175,0.32920679614558235,0.5349610437365714,0.6666437621948043,0.1810637378800703,2.056558553446687,1.967187249728263,1.9144042803471952,2.060916258933518,2.057594836744967,2.1222639763890983
