Time(s),EAR,MAR,PUC,MOE,Vertical Tilt,Horizontal Tilt
0.017,0.21410875875891405,0.14562990743230297,0.5112847758107321,0.6801679122164352,-0.05825077369809151,-0.0075550377368927
0.033,0.20162523272937516,0.14361130996235433,0.5161145949647837,0.7122685391025035,-0.06112287566065788,-0.010175354778766632
0.05,0.1862934446551087,0.14538443686052302,0.5098072425949833,0.7804055431455363,-0.060805995017290115,-0.009371809661388397
0.067,0.18935648692450524,0.15346713851534682,0.5160156268848675,0.8104667603837243,-0.05756022036075592,-0.009467478841543198
0.083,0.19099215419329738,0.14918198548940917,0.5142990299016885,0.7810896008766235,-0.05748186074197292,-0.009681235998868942
0.1,0.19135567639192597,0.15193200289712833,0.5173672516493232,0.7939769844399501,-0.05785582214593887,-0.009903434664011002
0.117,0.19273217256162428,0.13832239767431764,0.5229812365147136,0.7176923075989836,-0.05870622768998146,-0.009105846285820007
0.133,0.19191709628922426,0.13402086343695852,0.5227530120638422,0.6983268610681012,-0.060155242681503296,-0.009258788079023361
0.15,0.18384654237629516,0.1571686058395185,0.5150892096916391,0.8548901916133264,-0.05874412879347801,-0.009674403816461563
0.167,0.18634353162432932,0.15340422594454464,0.514485548166064,0.8232334366926635,-0.05943280644714832,-0.009600453078746796
0.183,0.18823228254122917,0.14266068853271108,0.5182667665607759,0.7578970334244531,-0.05924583412706852,-0.00952143594622612
0.2,0.19357669339527972,0.1500710371262915,0.5199018369206454,0.7752536449202045,-0.0592162050306797,-0.009911876171827316
0.217,0.18889201504445974,0.14118701704092965,0.5203048648949538,0.7474483080065523,-0.06036160886287689,-0.00888122245669365
0.233,0.18824631535587555,0.1613454246127717,0.516999894457019,0.8570973849222584,-0.059041108936071396,-0.009679879993200302
0.25,0.18867581294660268,0.16056159168691253,0.5190540681732643,0.8509919166605272,-0.05919713154435158,-0.009379975497722626
0.267,0.18568549203516616,0.14873866890410045,0.5177987542203932,0.8010247180535327,-0.056771162897348404,-0.010010790079832077
0.283,0.1932589568910314,0.1558214965362204,0.521419451688052,0.8062834398101403,-0.057175079360604286,-0.010114327073097229
0.3,0.18932844030986518,0.15462252163684895,0.5148686434567367,0.8166893541392163,-0.056291138753294945,-0.009831055998802185
0.317,0.20274154717316054,0.149420387998903,0.5244385947821693,0.7369993476042865,-0.05670003592967987,-0.010288823395967484
0.333,0.18291294565582725,0.15234944403239126,0.5117877112099367,0.8329068425755665,-0.05521092191338539,-0.01057819277048111
0.35,0.19545948743569647,0.15100451399642734,0.5207237308765089,0.7725617005217298,-0.054289454594254494,-0.010705050081014633
0.367,0.18698646726664087,0.1525466338861356,0.5153789701979687,0.8158164391041497,-0.05646475404500961,-0.011723574250936508
0.383,0.18976764793138867,0.15373548089141456,0.5115704288396448,0.8101248161488427,-0.055394455790519714,-0.01148543506860733
0.4,0.19282773955352683,0.1570401505747781,0.5166717869463135,0.814406427925716,-0.05573001876473427,-0.010346662253141403
0.417,0.1927090853397248,0.1591998674628688,0.5179531963404054,0.8261150074072379,-0.05594386346638203,-0.01035851240158081
0.433,0.20017995595254584,0.14937624631050817,0.5243449579571362,0.7462098070693898,-0.053993506357073784,-0.010348852723836899
0.45,0.19765874630283986,0.14891192524159433,0.5209030436625035,0.7533788816683132,-0.05452953837811947,-0.009824655950069427
0.467,0.19490413120242056,0.16921645277874459,0.5254098389366593,0.8682035200321246,-0.05564947798848152,-0.011144895106554031
0.483,0.19257908006673335,0.1651646787546283,0.5184037167469211,0.8576460054612096,-0.056062616407871246,-0.010963071137666702
0.5,0.19533405279353816,0.16753432900271675,0.5206087785528277,0.8576811191226098,-0.05584389716386795,-0.011628862470388412
0.517,0.20852826840485028,0.16174409889819916,0.5255194282296167,0.7756459118731025,-0.054818784818053246,-0.009707599878311157
0.533,0.2086947219202644,0.16980625516200884,0.5266497250078812,0.8136585995063469,-0.05471472628414631,-0.009845461696386337
0.55,0.20170363221236895,0.16875850095970002,0.5242967898738011,0.8366656520196831,-0.053990958258509636,-0.010612159967422485
0.567,0.20124064425438443,0.16777735378757133,0.5237118345246679,0.8337150500049444,-0.05387411080300808,-0.01044115424156189
0.583,0.19549217283792714,0.16173699868964925,0.5208757787943712,0.827332349637023,-0.054804060608148575,-0.010781589895486832
0.6,0.1976342836602471,0.16350918586114577,0.5245786456372872,0.8273320945784601,-0.05397249944508076,-0.011316228657960892
0.617,0.19115804339428524,0.157110418794079,0.5137247355686314,0.8218875648879752,-0.0535456370562315,-0.01068558543920517
0.633,0.20009050794250122,0.15004078196373394,0.5193996378174397,0.7498645663234071,-0.05307508260011673,-0.010113876312971115
0.65,0.19380122873581473,0.15538963412055282,0.5134105569734562,0.80179901404225,-0.05444102734327316,-0.010356072336435318
0.667,0.19886965980011279,0.15282881559675376,0.5154288770131347,0.768487338643635,-0.055346373468637466,-0.009262073785066605
0.683,0.20011221889280156,0.1537170737450763,0.5187265572199746,0.7681543615656036,-0.05663853511214256,-0.009520173072814941
0.7,0.20202565854619403,0.1518270787448918,0.5183428919503441,0.7515237412785163,-0.053368134424090385,-0.009600136429071426
0.717,0.2013276674493826,0.1519270636454185,0.5193556616843424,0.754625857291153,-0.053771620616316795,-0.009110618382692337
0.733,0.20130844108783616,0.1460848349276229,0.5127737805300899,0.7256766489184735,-0.05206272378563881,-0.008493099361658096
0.75,0.19378945710086032,0.14750473255003407,0.5107280791475253,0.7611597388048993,-0.052985021844506264,-0.008816253393888474
0.767,0.20235103727731632,0.15082247239896715,0.517867219095677,0.7453506264574729,-0.052307652309536934,-0.008955392986536026
0.783,0.19930061996932583,0.15027749802548826,0.5167199129208577,0.7540242375995485,-0.05268292315304279,-0.008714791387319565
0.8,0.2024501885881978,0.14705073799067753,0.5205119302115953,0.7263551544019166,-0.050868893042206764,-0.009307485073804855
0.817,0.20195054366513732,0.15613638995929296,0.5199134809660795,0.7731417164104756,-0.05234333872795105,-0.009056810289621353
0.833,0.19864817691405545,0.15555715346544088,0.5171183378785518,0.7830786865602206,-0.0515388660132885,-0.008772436529397964
0.85,0.1971236494859136,0.15839156806245508,0.5151600970246927,0.8035137766347701,-0.05205659754574299,-0.008926935493946075
0.867,0.20187338328206475,0.1415170919468191,0.5147024291551876,0.7010190726782755,-0.05039873905479908,-0.009365197271108627
0.883,0.20388840570065764,0.14923402093050214,0.5168899069558925,0.7319397119108514,-0.05025092884898186,-0.009571541100740433
0.9,0.20327323967990718,0.15019950330077902,0.5162897747194293,0.7389044595210714,-0.050085121765732765,-0.009581848978996277
0.917,0.197900739483574,0.14506768715438026,0.5144832108366668,0.7330325674019073,-0.04947826638817787,-0.00922565907239914
0.933,0.19823706561251656,0.14329479389695196,0.51501980781516,0.7228456164552126,-0.050325578078627586,-0.009236622601747513
0.95,0.202974527900746,0.1423040296356347,0.5131584158004392,0.7010930440750723,-0.05139250308275223,-0.009643003344535828
0.967,0.2001358066905688,0.13955627860774802,0.5133904657959873,0.6973078976493039,-0.05122588574886322,-0.009023051708936691
0.983,0.20531950619503803,0.1479094467159783,0.5112220850272902,0.7203867253385828,-0.04678693227469921,-0.009878233075141907
1.0,0.19827631196234768,0.14803279386566792,0.5110699230446634,0.7465984837047962,-0.04838400147855282,-0.009946268051862717
1.017,0.1984476997002019,0.14965792334084838,0.5082858568088771,0.7541428979370332,-0.0495287012308836,-0.009229067713022232
1.033,0.1931841955361988,0.1433415454320621,0.5046703620973656,0.7419941627947654,-0.04800121486186981,-0.009769801050424576
1.05,0.18628537981279802,0.14603823762150062,0.5077715409788811,0.7839490021614011,-0.047624746337533,-0.009503096342086792
1.067,0.19248354713551008,0.14108425113231382,0.507741936117637,0.7329678470284491,-0.047872453927993774,-0.009279925376176834
1.083,0.18180167875459866,0.14097939942820475,0.5067378428300902,0.7754570826516017,-0.047690724954009056,-0.009495016187429428
1.1,0.19600940528038557,0.13828844275426258,0.5103702389134617,0.7055194242156141,-0.0466886181384325,-0.00983978807926178
1.117,0.18983639272507166,0.1418222553354224,0.5067276346328731,0.7470762233710099,-0.047437816858291626,-0.00919874757528305
1.133,0.19413266107660382,0.15138156233226582,0.508327810758322,0.779784099660239,-0.045418817549943924,-0.008936289697885513
1.15,0.19643851837468115,0.14637785228836867,0.5086409330705989,0.7451586048372233,-0.04453401640057564,-0.008873019367456436
1.167,0.20848249886613573,0.146708266186531,0.5159104433030668,0.7036958353071675,-0.04394334740936756,-0.010180976241827011
1.183,0.19704645410037397,0.14897470330855636,0.5023896810852109,0.7560384884300926,-0.04404186271131039,-0.008496526628732681
1.2,0.2033518233174702,0.1471384703453315,0.5115247182600953,0.7235660243656672,-0.04411652125418186,-0.009882025420665741
1.217,0.20108653344115884,0.1496018971986698,0.5133011402119382,0.7439677567590358,-0.04478205926716328,-0.008979279547929764
1.233,0.19853680155619496,0.1309445111416425,0.5065796300079827,0.659547802297899,-0.04614324867725372,-0.009073689579963684
1.25,0.19063842356169622,0.13596714316314465,0.5078963164354295,0.7132200351999957,-0.04657626524567604,-0.008341200649738312
1.267,0.19722130622629902,0.15244449089434062,0.5090337604047492,0.7729615720089602,-0.04577563889324665,-0.009817548096179962
1.283,0.19007083399103744,0.1499000510369159,0.5057247882404537,0.7886536187029318,-0.04440261237323284,-0.009473469108343124
1.3,0.1949319104050819,0.14859516694537056,0.5108952459521843,0.7622926725366801,-0.04546440951526165,-0.009705238044261932
1.317,0.19601840817947977,0.14757499962319467,0.5100702680290481,0.7528629631971656,-0.04332648403942585,-0.009253613650798798
1.333,0.1936986969169493,0.15621497723911087,0.5119749926018929,0.8064843993560264,-0.04387139528989792,-0.008937660604715347
1.35,0.1924897282511691,0.13874703696514834,0.5104946985096561,0.7208022902089876,-0.044691694900393486,-0.009699631482362747
1.367,0.19068578801455233,0.141798402954078,0.5070350275790854,0.7436233419936705,-0.04401107877492905,-0.009351182729005814
1.383,0.19737973297882727,0.14516517305116883,0.5132142149564167,0.7354613914020268,-0.044982343912124634,-0.008853673934936523
1.4,0.19673571408122542,0.1441635926579243,0.5097764192302787,0.7327779469588531,-0.04431607015430927,-0.008470121771097183
1.417,0.1970432845046356,0.12724473713672504,0.513591183381856,0.6457704836610735,-0.04486675001680851,-0.008693557232618332
1.433,0.19727650708935413,0.12831000190565237,0.5120900564729864,0.6504069024677928,-0.04478145390748978,-0.008193008601665497
1.45,0.1972436535690171,0.13152983706768404,0.5123517251378483,0.666839387162643,-0.044316260144114494,-0.008171327412128448
1.467,0.19641757461824993,0.1452492275525676,0.5123672771026591,0.739492012539452,-0.04381127469241619,-0.008725646883249283
1.483,0.19734136106482847,0.14673762271132657,0.5107054264609301,0.7435725684648637,-0.04433586820960045,-0.00895630568265915
1.5,0.19589146725874174,0.13473577560154051,0.5114365680997379,0.6878082924539832,-0.04516906291246414,-0.008675426244735718
1.517,0.19253937669127175,0.14343877367861935,0.5064954501303922,0.7449840969861297,-0.04449497349560261,-0.008863203227519989
1.533,0.1933882313668772,0.1427102949878167,0.5073173630994141,0.7379471541734136,-0.0426975954324007,-0.008741077035665512
1.55,0.19982139773064683,0.14402566659771512,0.5100277683878981,0.7207719905545719,-0.043523360043764114,-0.008853387087583542
1.567,0.19567351277605366,0.14183045364026023,0.5110527372554123,0.7248321534585201,-0.045828407630324364,-0.0091409832239151
1.583,0.19668703720424796,0.13523460182588912,0.5088079184566394,0.6875623515822037,-0.04632330685853958,-0.008962441235780716
1.6,0.19709926864600924,0.14051669633730526,0.5108170514861281,0.7129234791310849,-0.04551524482667446,-0.009391818195581436
1.617,0.19918950281880538,0.14765095104258957,0.5064197949155839,0.7412586956296671,-0.045299457386136055,-0.009167928248643875
1.633,0.19447759697561606,0.14754904290281634,0.5093523288097777,0.7586942927997835,-0.04415566474199295,-0.009504873305559158
1.65,0.1971184113101347,0.14871722927491485,0.5125328766515702,0.754456310227317,-0.043736521154642105,-0.010080266743898392
1.667,0.18995542235503632,0.12822867524418977,0.5020890774097971,0.6750461432184014,-0.04633752629160881,-0.00838504359126091
1.683,0.19484630846075202,0.13714591772588478,0.5072510128625938,0.703867159759458,-0.045503027737140656,-0.008615899831056595
1.7,0.1984854101026264,0.141044678388173,0.5125128907430174,0.7106047659384445,-0.04644347168505192,-0.008976701647043228
