Time(s),EAR,MAR,PUC,MOE
0.017,0.21410875875891405,0.14562990743230297,0.5112847758107321,0.6801679122164352
0.033,0.20162523272937516,0.14361130996235433,0.5161145949647837,0.7122685391025035
0.05,0.1862934446551087,0.14538443686052302,0.5098072425949833,0.7804055431455363
0.067,0.18935648692450524,0.15346713851534682,0.5160156268848675,0.8104667603837243
0.083,0.19099215419329738,0.14918198548940917,0.5142990299016885,0.7810896008766235
0.1,0.19135567639192597,0.15193200289712833,0.5173672516493232,0.7939769844399501
0.117,0.19273217256162428,0.13832239767431764,0.5229812365147136,0.7176923075989836
0.133,0.19191709628922426,0.13402086343695852,0.5227530120638422,0.6983268610681012
0.15,0.18384654237629516,0.1571686058395185,0.5150892096916391,0.8548901916133264
0.167,0.18634353162432932,0.15340422594454464,0.514485548166064,0.8232334366926635
0.183,0.18823228254122917,0.14266068853271108,0.5182667665607759,0.7578970334244531
0.2,0.19357669339527972,0.1500710371262915,0.5199018369206454,0.7752536449202045
0.217,0.18889201504445974,0.14118701704092965,0.5203048648949538,0.7474483080065523
0.233,0.18824631535587555,0.1613454246127717,0.516999894457019,0.8570973849222584
0.25,0.18867581294660268,0.16056159168691253,0.5190540681732643,0.8509919166605272
0.267,0.18568549203516616,0.14873866890410045,0.5177987542203932,0.8010247180535327
0.283,0.1932589568910314,0.1558214965362204,0.521419451688052,0.8062834398101403
0.3,0.18932844030986518,0.15462252163684895,0.5148686434567367,0.8166893541392163
0.317,0.20274154717316054,0.149420387998903,0.5244385947821693,0.7369993476042865
0.333,0.18291294565582725,0.15234944403239126,0.5117877112099367,0.8329068425755665
0.35,0.19545948743569647,0.15100451399642734,0.5207237308765089,0.7725617005217298
0.367,0.18698646726664087,0.1525466338861356,0.5153789701979687,0.8158164391041497
0.383,0.18976764793138867,0.15373548089141456,0.5115704288396448,0.8101248161488427
0.4,0.19282773955352683,0.1570401505747781,0.5166717869463135,0.814406427925716
0.417,0.1927090853397248,0.1591998674628688,0.5179531963404054,0.8261150074072379
0.433,0.20017995595254584,0.14937624631050817,0.5243449579571362,0.7462098070693898
0.45,0.19765874630283986,0.14891192524159433,0.5209030436625035,0.7533788816683132
0.467,0.19490413120242056,0.16921645277874459,0.5254098389366593,0.8682035200321246
0.483,0.19257908006673335,0.1651646787546283,0.5184037167469211,0.8576460054612096
0.5,0.19533405279353816,0.16753432900271675,0.5206087785528277,0.8576811191226098
0.517,0.20852826840485028,0.16174409889819916,0.5255194282296167,0.7756459118731025
0.533,0.2086947219202644,0.16980625516200884,0.5266497250078812,0.8136585995063469
0.55,0.20170363221236895,0.16875850095970002,0.5242967898738011,0.8366656520196831
0.567,0.20124064425438443,0.16777735378757133,0.5237118345246679,0.8337150500049444
0.583,0.19549217283792714,0.16173699868964925,0.5208757787943712,0.827332349637023
0.6,0.1976342836602471,0.16350918586114577,0.5245786456372872,0.8273320945784601
0.617,0.19115804339428524,0.157110418794079,0.5137247355686314,0.8218875648879752
0.633,0.20009050794250122,0.15004078196373394,0.5193996378174397,0.7498645663234071
0.65,0.19380122873581473,0.15538963412055282,0.5134105569734562,0.80179901404225
0.667,0.19886965980011279,0.15282881559675376,0.5154288770131347,0.768487338643635
0.683,0.20011221889280156,0.1537170737450763,0.5187265572199746,0.7681543615656036
0.7,0.20202565854619403,0.1518270787448918,0.5183428919503441,0.7515237412785163
0.717,0.2013276674493826,0.1519270636454185,0.5193556616843424,0.754625857291153
0.733,0.20130844108783616,0.1460848349276229,0.5127737805300899,0.7256766489184735
0.75,0.19378945710086032,0.14750473255003407,0.5107280791475253,0.7611597388048993
0.767,0.20235103727731632,0.15082247239896715,0.517867219095677,0.7453506264574729
0.783,0.19930061996932583,0.15027749802548826,0.5167199129208577,0.7540242375995485
0.8,0.2024501885881978,0.14705073799067753,0.5205119302115953,0.7263551544019166
0.817,0.20195054366513732,0.15613638995929296,0.5199134809660795,0.7731417164104756
0.833,0.19864817691405545,0.15555715346544088,0.5171183378785518,0.7830786865602206
0.85,0.1971236494859136,0.15839156806245508,0.5151600970246927,0.8035137766347701
0.867,0.20187338328206475,0.1415170919468191,0.5147024291551876,0.7010190726782755
0.883,0.20388840570065764,0.14923402093050214,0.5168899069558925,0.7319397119108514
0.9,0.20327323967990718,0.15019950330077902,0.5162897747194293,0.7389044595210714
0.917,0.197900739483574,0.14506768715438026,0.5144832108366668,0.7330325674019073
0.933,0.19823706561251656,0.14329479389695196,0.51501980781516,0.7228456164552126
0.95,0.202974527900746,0.1423040296356347,0.5131584158004392,0.7010930440750723
0.967,0.2001358066905688,0.13955627860774802,0.5133904657959873,0.6973078976493039
0.983,0.20531950619503803,0.1479094467159783,0.5112220850272902,0.7203867253385828
1.0,0.19827631196234768,0.14803279386566792,0.5110699230446634,0.7465984837047962
1.017,0.1984476997002019,0.14965792334084838,0.5082858568088771,0.7541428979370332
1.033,0.1931841955361988,0.1433415454320621,0.5046703620973656,0.7419941627947654
1.05,0.18628537981279802,0.14603823762150062,0.5077715409788811,0.7839490021614011
1.067,0.19248354713551008,0.14108425113231382,0.507741936117637,0.7329678470284491
1.083,0.18180167875459866,0.14097939942820475,0.5067378428300902,0.7754570826516017
1.1,0.19600940528038557,0.13828844275426258,0.5103702389134617,0.7055194242156141
1.117,0.18983639272507166,0.1418222553354224,0.5067276346328731,0.7470762233710099
1.133,0.19413266107660382,0.15138156233226582,0.508327810758322,0.779784099660239
1.15,0.19643851837468115,0.14637785228836867,0.5086409330705989,0.7451586048372233
1.167,0.20848249886613573,0.146708266186531,0.5159104433030668,0.7036958353071675
1.183,0.19704645410037397,0.14897470330855636,0.5023896810852109,0.7560384884300926
1.2,0.2033518233174702,0.1471384703453315,0.5115247182600953,0.7235660243656672
1.217,0.20108653344115884,0.1496018971986698,0.5133011402119382,0.7439677567590358
1.233,0.19853680155619496,0.1309445111416425,0.5065796300079827,0.659547802297899
1.25,0.19063842356169622,0.13596714316314465,0.5078963164354295,0.7132200351999957
1.267,0.19722130622629902,0.15244449089434062,0.5090337604047492,0.7729615720089602
1.283,0.19007083399103744,0.1499000510369159,0.5057247882404537,0.7886536187029318
1.3,0.1949319104050819,0.14859516694537056,0.5108952459521843,0.7622926725366801
1.317,0.19601840817947977,0.14757499962319467,0.5100702680290481,0.7528629631971656
1.333,0.1936986969169493,0.15621497723911087,0.5119749926018929,0.8064843993560264
1.35,0.1924897282511691,0.13874703696514834,0.5104946985096561,0.7208022902089876
1.367,0.19068578801455233,0.141798402954078,0.5070350275790854,0.7436233419936705
1.383,0.19737973297882727,0.14516517305116883,0.5132142149564167,0.7354613914020268
1.4,0.19673571408122542,0.1441635926579243,0.5097764192302787,0.7327779469588531
1.417,0.1970432845046356,0.12724473713672504,0.513591183381856,0.6457704836610735
1.433,0.19727650708935413,0.12831000190565237,0.5120900564729864,0.6504069024677928
