,EAR_mean,EAR_std,blinking_rate,blink_duration,MAR_mean,MAR_std,PUC_mean,PUC_std,MOE_mean,MOE_std,vtilt_mean,vtilt_std,htilt_mean,htilt_std
108,0.25515037551044906,0.02210810534647702,8.0,0.8833333333333333,0.24019807853687142,0.01815039177639441,0.5526550062883011,0.019224511133931938,0.9518317180440283,0.139822476326392,-0.03999490910313191,0.006653096997793694,0.0013574507956703261,0.0031978490846718117
109,0.2649738237830437,0.018454346212012203,0.0,0.0,0.23588720880147868,0.016306022753279113,0.5600755557963744,0.014433271433896524,0.8954600319161308,0.09791564160517365,-0.042028373733369796,0.004136427786953999,0.002918253102236289,0.0029808813919868435
110,0.2731318725252687,0.01320760936739473,0.0,0.0,0.23540739328133567,0.016367153078071184,0.5652386323367148,0.013861156086555226,0.8637744323781246,0.07195007626599036,-0.042417168794199774,0.00448244085589858,0.004205781237946577,0.003196239024327433
111,0.2709156442955753,0.013822226811984778,0.0,0.0,0.24317676397501928,0.019648394469203283,0.5625229109595452,0.014461401839921548,0.9008725076201384,0.09645172113819286,-0.041500693700379745,0.004644111147417256,0.0026385972193545587,0.004931234733399953
112,0.2627572386605816,0.015232602052822598,0.0,0.0,0.2500763012073218,0.019650619502702266,0.5590542569022802,0.014622142171377863,0.9562948402731263,0.10605409401743804,-0.04038717601758734,0.0048560508640832075,0.0010780241505967219,0.004515324298709667
113,0.2544728605171779,0.011858628991005113,0.0,0.0,0.25979144199345555,0.01599981462205417,0.552628520413078,0.012310556973452121,1.0235435567999729,0.08425650913094113,-0.0376251712089611,0.003447119598550718,-2.0863322748076515e-05,0.003507391845329369
114,0.24980931324955818,0.013501080704188971,0.0,0.0,0.26025172145843334,0.01586469367144411,0.5514074285988162,0.013507220385837494,1.044899336006627,0.08585796487558282,-0.03805217337691117,0.0037567179503870396,0.0008794781275921245,0.003239978557791373
115,0.24507613727571187,0.016095949364998665,0.0,0.0,0.26651898484070935,0.018765012992039184,0.5463326437561631,0.015410516138504173,1.0924570412101164,0.10901804126312968,-0.03783664505721789,0.004932482381144778,0.0023870792695217407,0.004606885000777991
116,0.24121790417367645,0.016161611777249205,0.0,0.0,0.27031096514088404,0.019030654136026837,0.544851499087209,0.015185660987472718,1.1259261566032677,0.11272802302103861,-0.03926751670634576,0.004843007204409173,0.002650045069555411,0.004497947826962052
117,0.24534253739908815,0.017951959657822418,0.0,0.0,0.2757838019077587,0.017104994784411385,0.5462474681548757,0.01549443153218768,1.1301162487230054,0.10955413169283673,-0.039642949073264946,0.004584731666130062,0.006146605747441406,0.005240066342301665
118,0.23791272959496698,0.025621194495943144,0.0,0.0,0.2730907605482239,0.01578703028140019,0.536807260187744,0.026887343423516643,1.1618056738808618,0.1465641301081596,-0.03489311336242175,0.011038199853098266,0.004199124048981371,0.005661947683297888
119,0.2286824596370347,0.02889967180481288,0.0,0.0,0.27262315357280537,0.016449496834632097,0.5267747919166387,0.027760194600271303,1.2115975035138273,0.17209686666252366,-0.029818453483102383,0.010771459777270068,0.002814724151458999,0.006357343210170907
120,0.22397610657623165,0.025833532320109674,4.0,0.35,0.2703185059621117,0.015773273946311252,0.5230793899385217,0.02465415785467668,1.2250070770934351,0.17174929071562528,-0.02845813188559578,0.009504850861249253,0.0010294166165921374,0.0037220808374335795
121,0.2362840439835497,0.024607366701084765,0.0,0.0,0.2672986866418943,0.015938004528583846,0.5364077133966416,0.02040686508609555,1.1475614149746416,0.16893009151430208,-0.03440428475694105,0.0072169418341684844,0.002773449598915023,0.003366376510726205
122,0.25151673566719907,0.017906624088904605,0.0,0.0,0.26266905193459167,0.014683960391257023,0.5499835471262562,0.013303740427494867,1.0516568855207364,0.11717885402336933,-0.03968326586919522,0.003501830229626217,0.0043614776805042735,0.0017766874265680024
123,0.25138163858332285,0.017747233866031883,0.0,0.0,0.25889530260099797,0.014182270494869113,0.5522505520531955,0.012106141277067975,1.0357598482885628,0.10172624404737535,-0.04226995595213435,0.0030493016196093624,0.0033869681052035266,0.0017935989873810697
124,0.2484410472461179,0.017569719292363003,0.0,0.0,0.2547721180851206,0.0150092785827164,0.5530159443437518,0.01196671926271669,1.0307601742929873,0.09857747921024064,-0.043997931645976124,0.0033239096626281016,0.002253476041886495,0.0015125126815912317
125,0.24267276374841648,0.01457887272094574,0.0,0.0,0.25062310576040914,0.014228658419256794,0.5514579356221776,0.011306869979368438,1.0364758706667914,0.08692757613682829,-0.04517572845642761,0.002952765304000568,0.0016516958218481344,0.0010144474109809421
126,0.24190504420937162,0.010405280253758871,0.0,0.0,0.2503727983434406,0.013340163967149023,0.5508928763758548,0.008970169389174993,1.0366232374367201,0.06673659743146364,-0.04437606909415783,0.003587108973886179,0.0019622145717342237,0.001142873494196278
127,0.2422367412708194,0.014068244931151172,0.0,0.0,0.25375751112026307,0.013857707836431216,0.5517696544399144,0.01168790066693793,1.0509886110559432,0.08464041715296128,-0.04445277907782126,0.0037154445247631535,0.0028818136577804404,0.0015019021173995647
128,0.24205779458223511,0.016475064914314035,0.0,0.0,0.25201325901059307,0.014410532529991336,0.5528472511915039,0.012882657198909877,1.0463261997414628,0.10071656660711784,-0.046039860629373076,0.004279368624030325,0.0036539727035495486,0.0012914003669397378
129,0.24781109545734384,0.019987625296613604,4.0,3.3833333333333333,0.24998223580059692,0.014330343983636199,0.5604554227564958,0.01700602958453647,1.016503455296853,0.11674387451050404,-0.04910122427261533,0.004305909993893162,0.0034092381389604198,0.0015140355043924449
130,0.24856994567964297,0.017961820566445245,0.0,0.0,0.259477367162924,0.023359573253064946,0.5521789124456693,0.02185768119754488,1.0499539612710618,0.12778807511287682,-0.04384529114286928,0.010786789664985027,0.006328100226819468,0.00539282362911623
131,0.2517183893017172,0.014983887390909126,0.0,0.0,0.2668254676483956,0.020958807931650184,0.5496913127729629,0.021513372796154066,1.0648730914879088,0.11563749699887098,-0.04096762878716815,0.009999916694877126,0.006926049105822991,0.005213235420747613
132,0.2498533617225891,0.012257486453176923,0.0,0.0,0.2704687520549466,0.01885590645372264,0.5448868875896083,0.015543317898968666,1.0854289065341602,0.09587419716873943,-0.038435349173636855,0.007290132687165863,0.007785050351586557,0.004466982914283007
