Fri Aug  4 14:28:49 2023||-0.200 0.059 -0.979 -0.005 0.259 -0.931
Fri Aug  4 14:28:49 2023||-0.197 0.063 -0.982 -0.040 0.535 -1.168
Fri Aug  4 14:28:49 2023||-0.198 0.062 -0.979 0.001 0.703 -0.701
Fri Aug  4 14:28:49 2023||-0.199 0.061 -0.974 0.016 0.637 -0.772
Fri Aug  4 14:28:50 2023||-0.199 0.060 -0.978 0.009 0.671 -0.746
Fri Aug  4 14:28:50 2023||-0.199 0.059 -0.982 0.011 0.685 -0.732
Fri Aug  4 14:28:50 2023||-0.197 0.061 -0.981 0.011 0.679 -0.729
Fri Aug  4 14:28:50 2023||-0.200 0.064 -0.982 0.018 0.689 -0.722
Fri Aug  4 14:28:50 2023||-0.196 0.062 -0.972 -0.003 -0.590 -0.053
Fri Aug  4 14:28:50 2023||-0.199 0.061 -0.978 0.045 0.001 -1.136
Fri Aug  4 14:28:50 2023||-0.199 0.067 -0.979 0.059 0.077 -1.018
Fri Aug  4 14:28:50 2023||-0.197 0.060 -0.975 0.104 0.134 -0.990
Fri Aug  4 14:28:50 2023||-0.203 0.063 -0.986 0.126 -0.108 -0.963
Fri Aug  4 14:28:50 2023||-0.200 0.060 -0.975 0.167 -0.106 -0.920
Fri Aug  4 14:28:50 2023||-0.198 0.060 -0.979 0.122 0.016 -1.002
Fri Aug  4 14:28:50 2023||-0.200 0.062 -0.975 0.135 -0.045 -1.009
Fri Aug  4 14:28:51 2023||-0.201 0.062 -0.979 0.135 -0.062 -0.993
Fri Aug  4 14:28:51 2023||-0.198 0.062 -0.982 0.132 -0.029 -0.995
Fri Aug  4 14:28:51 2023||-0.201 0.059 -0.978 0.142 -0.076 -0.990
Fri Aug  4 14:28:51 2023||-0.196 0.061 -0.978 0.193 -0.172 -1.208
Fri Aug  4 14:28:51 2023||-0.201 0.060 -0.982 0.193 0.085 -0.979
Fri Aug  4 14:28:51 2023||-0.200 0.063 -0.982 0.354 0.037 -1.331
Fri Aug  4 14:28:51 2023||-0.202 0.060 -0.982 0.527 -0.165 -0.736
Fri Aug  4 14:28:51 2023||-0.197 0.062 -0.982 0.709 0.030 -0.280
Fri Aug  4 14:28:51 2023||-0.197 0.062 -0.976 0.740 0.104 -0.160
Fri Aug  4 14:28:51 2023||-0.197 0.058 -0.979 0.861 0.111 0.030
Fri Aug  4 14:28:51 2023||-0.202 0.060 -0.982 0.977 0.036 0.097
Fri Aug  4 14:28:51 2023||-0.201 0.056 -0.979 0.975 0.116 0.073
Fri Aug  4 14:28:52 2023||-0.196 0.060 -0.978 0.976 0.016 -0.123
Fri Aug  4 14:28:52 2023||-0.199 0.061 -0.983 0.958 0.026 0.328
Fri Aug  4 14:28:52 2023||-0.199 0.060 -0.984 0.910 0.094 -0.021
Fri Aug  4 14:28:52 2023||-0.202 0.060 -0.984 1.522 -0.463 -0.001
Fri Aug  4 14:28:52 2023||-0.200 0.059 -0.981 0.752 -0.256 0.121
Fri Aug  4 14:28:52 2023||-0.205 0.062 -0.999 0.771 -0.124 0.155
Fri Aug  4 14:28:52 2023||-0.197 0.056 -0.980 1.040 0.143 0.123
Fri Aug  4 14:28:52 2023||-0.199 0.055 -0.987 1.015 0.080 0.091
Fri Aug  4 14:28:52 2023||-0.207 0.063 -0.983 0.980 0.056 -0.241
Fri Aug  4 14:28:52 2023||-0.197 0.061 -0.977 0.919 -0.031 0.183
Fri Aug  4 14:28:52 2023||-0.196 0.059 -0.979 1.021 -0.073 0.252
Fri Aug  4 14:28:52 2023||-0.198 0.062 -0.976 0.976 0.021 0.080
Fri Aug  4 14:28:53 2023||-0.198 0.060 -0.977 0.966 0.046 0.147
Fri Aug  4 14:28:53 2023||-0.198 0.060 -0.979 0.953 0.052 0.113
Fri Aug  4 14:28:53 2023||-0.199 0.063 -0.979 0.971 0.040 0.189
Fri Aug  4 14:28:53 2023||-0.203 0.060 -0.976 0.957 0.031 0.165
Fri Aug  4 14:28:53 2023||-0.197 0.060 -0.982 0.974 0.049 0.151
Fri Aug  4 14:28:53 2023||-0.202 0.057 -0.979 0.982 0.029 0.024
Fri Aug  4 14:28:53 2023||-0.199 0.059 -0.979 0.989 0.074 0.157
Fri Aug  4 14:28:53 2023||-0.199 0.056 -0.986 0.970 0.031 0.113
Fri Aug  4 14:28:53 2023||-0.196 0.058 -0.978 0.978 0.039 0.144
Fri Aug  4 14:28:53 2023||-0.200 0.059 -0.977 0.963 0.015 0.216
Fri Aug  4 14:28:53 2023||-0.198 0.060 -0.982 0.979 0.054 0.166
Fri Aug  4 14:28:53 2023||-0.198 0.056 -0.980 0.980 0.094 0.215
Fri Aug  4 14:28:53 2023||-0.203 0.063 -0.976 1.030 0.953 -0.065
Fri Aug  4 14:28:54 2023||-0.198 0.058 -0.973 0.749 -0.379 -1.387
Fri Aug  4 14:28:54 2023||-0.201 0.058 -0.979 -0.149 0.213 -1.614
Fri Aug  4 14:28:54 2023||-0.196 0.060 -0.984 0.229 0.281 -0.747
